,Over_All,ball_skills,physical,defence,GK,mental,shooting,passing,hight,wight,age,value
Idrissa Gueye,82,77.5,77.28571428571430,84.5,9.4,78.5,62.5,72.0,174,66,32,21500000
Alexandre Lacazette,82,82.5,75.71428571428570,42.0,7.4,72.33333333333330,78.625,72.33333333333330,175,73,30,30000000
Jesús Corona,82,84.5,77.57142857142860,74.5,10.0,80.33333333333330,69.625,77.33333333333330,173,66,28,30500000
Alphonse Areola,82,18.5,59.42857142857140,15.5,81.0,43.166666666666700,22.125,35.0,195,94,28,26000000
Mario Götze,82,86.0,71.28571428571430,53.0,9.8,76.5,72.75,83.0,177,71,29,30000000
Daley Blind,82,80.5,65.57142857142860,83.5,11.0,78.33333333333330,67.5,83.0,180,72,31,21000000
Christian Eriksen,82,83.5,62.57142857142860,58.0,8.6,71.33333333333330,77.125,88.33333333333330,181,76,29,29500000
Coutinho,82,89.0,72.0,54.5,9.6,71.5,76.875,78.33333333333330,172,68,29,30000000
Kevin Trapp,82,17.0,52.714285714285700,14.5,81.0,42.333333333333300,18.875,16.666666666666700,189,88,31,20500000
Oscar,82,82.0,78.42857142857140,62.5,12.2,71.33333333333330,74.5,83.33333333333330,179,70,30,30000000
Lars Stindl,82,83.0,70.0,60.5,10.6,78.33333333333330,79.625,79.33333333333330,181,80,33,24000000
Dene.Y.M,82,75.5,81.85714285714290,80.0,10.6,76.33333333333330,68.75,78.33333333333330,181,80,31,22000000
Miralem Pjanić,82,82.0,69.0,77.5,8.4,77.83333333333330,75.375,82.0,178,72,31,25000000
Éver Banega,82,83.5,67.14285714285710,78.0,9.0,80.66666666666670,74.0,83.66666666666670,174,75,33,15000000
Rui Patrício,82,22.5,60.857142857142900,13.5,80.4,46.5,20.75,26.0,190,84,33,10000000
Gareth Bale,82,81.5,75.14285714285710,51.5,10.4,73.5,85.25,81.66666666666670,185,82,32,25000000
Ivan Rakitić,82,80.5,60.142857142857100,76.5,10.2,78.16666666666670,78.625,85.0,184,78,33,18500000
Salvatore Sirigu,82,16.5,52.42857142857140,12.5,79.8,43.166666666666700,18.125,21.333333333333300,192,85,34,5000000
Łukasz Fabiański,82,18.0,50.42857142857140,13.0,80.0,44.0,20.75,22.0,190,83,36,775000
Raúl Albiol,82,65.0,55.857142857142900,88.0,7.2,69.66666666666670,48.5,61.333333333333300,190,82,36,8000000
Pepe,82,59.0,75.28571428571430,84.0,9.4,70.16666666666670,52.125,64.66666666666670,188,80,38,5500000
Pedri,81,83.5,76.85714285714290,69.0,9.2,75.83333333333330,58.375,77.66666666666670,174,61,18,54000000
Renan Lodi,81,81.0,80.71428571428570,77.0,11.0,77.16666666666670,66.125,77.66666666666670,173,70,23,36500000
Dejan Kulusevski,81,86.0,78.0,57.0,8.8,73.33333333333330,71.25,76.0,186,75,21,58000000
Edmond Tapsoba,81,69.0,73.57142857142860,83.0,10.0,70.0,53.5,66.66666666666670,194,85,22,48500000
Reguilón,81,79.5,75.14285714285710,78.0,10.2,75.5,57.375,76.66666666666670,178,68,24,32500000
Moussa Diaby,81,84.5,78.42857142857140,40.5,9.4,67.33333333333330,55.0,74.33333333333330,170,68,22,52500000
Pedro Gonçalves,81,83.5,72.71428571428570,57.0,11.2,77.5,72.875,78.66666666666670,173,65,23,51500000
Cucurella,81,80.5,78.57142857142860,74.5,10.0,77.0,61.375,80.33333333333330,172,66,23,41500000
Reece James,81,78.5,78.71428571428570,78.5,10.2,72.0,64.0,78.66666666666670,178,87,21,37000000
Manuel Lazzari,81,81.5,77.71428571428570,73.5,9.4,73.5,57.625,78.66666666666670,174,67,27,25000000
Houssem Aouar,81,86.0,74.85714285714290,66.0,9.6,76.5,71.5,77.33333333333330,175,70,23,39000000
Harvey Barnes,81,81.5,75.28571428571430,46.0,8.0,68.0,68.5,74.33333333333330,180,66,23,35000000
Carlos Soler,81,80.5,73.71428571428570,73.0,10.2,76.33333333333330,75.125,81.33333333333330,180,76,24,51500000
Lucas Paquetá,81,85.0,77.57142857142860,71.0,11.4,80.66666666666670,73.5,78.33333333333330,180,72,24,37000000
Christopher Nkunku,81,86.0,74.71428571428570,70.5,8.6,74.0,71.125,81.33333333333330,179,72,23,39000000
Ruslan Malinovskyi,81,84.0,74.71428571428570,63.5,10.4,76.16666666666670,81.0,81.66666666666670,181,79,28,26500000
Oswaldinato,81,77.5,76.28571428571430,13.0,8.6,64.66666666666670,73.625,66.33333333333330,184,79,29,25500000
Welington Dano,81,77.5,78.57142857142860,73.5,12.0,75.83333333333330,58.875,77.0,178,69,21,27500000
Louri Beretta,81,74.5,68.85714285714290,26.5,15.6,66.83333333333330,77.5,58.666666666666700,188,83,29,25500000
Rosberto Dourado,81,76.5,69.85714285714290,84.5,12.4,75.5,60.875,73.66666666666670,175,70,21,27000000
Adryan Zonta,81,74.5,83.28571428571430,72.5,12.0,72.0,67.0,77.66666666666670,172,68,29,22500000
Juiano Mestres,81,62.0,73.14285714285710,81.0,14.6,70.66666666666670,66.125,55.0,181,82,25,25000000
Lorenzo Pellegrini,81,80.5,79.0,72.0,10.6,77.5,72.75,80.66666666666670,186,77,25,38000000
Hopcutt,81,64.0,71.28571428571430,82.5,10.4,69.0,56.125,65.33333333333330,182,79,26,28000000
Álex Remiro,81,21.0,53.714285714285700,15.5,80.8,38.166666666666700,20.875,25.0,191,83,26,26000000
Giovani Lo Celso,81,84.0,73.85714285714290,69.5,11.2,78.83333333333330,73.375,82.0,177,68,25,35500000
Nordi Mukiele,81,73.5,77.0,83.5,11.4,73.33333333333330,52.375,72.33333333333330,187,84,23,34500000
Nicolas Pépé,81,83.0,79.14285714285710,35.0,10.0,63.833333333333300,76.25,73.0,183,73,26,30500000
Konrad Laimer,81,78.0,77.57142857142860,81.0,11.6,79.0,63.625,79.33333333333330,180,72,24,33500000
Gonçalo Guedes,81,82.0,76.57142857142860,29.0,10.0,70.66666666666670,73.5,75.33333333333330,179,68,24,39000000
Kalvin Phillips,81,76.0,74.85714285714290,80.5,10.0,76.16666666666670,64.375,77.33333333333330,178,72,25,32500000
David Soria,81,17.5,50.42857142857140,17.5,79.0,39.5,23.875,24.0,192,85,28,20500000
Hirving Lozano,81,81.5,79.0,38.5,11.8,70.16666666666670,71.75,70.66666666666670,175,70,26,31000000
Dominic Calvert-Lewin,81,78.0,79.42857142857140,34.5,10.0,69.66666666666670,72.875,61.333333333333300,187,71,24,37500000
Donny van de Beek,81,80.5,72.71428571428570,72.5,10.2,78.83333333333330,74.0,75.33333333333330,184,74,24,38500000
Martin Dúbravka,81,27.0,53.0,17.0,79.6,42.333333333333300,19.75,35.0,190,80,32,13000000
Hans Hateboer,81,78.5,77.71428571428570,77.5,10.8,77.0,56.875,76.66666666666670,185,72,27,25000000
Dakonam Djené,81,60.5,72.14285714285710,83.5,9.8,69.83333333333330,45.25,68.0,178,72,29,24000000
Morales,81,85.5,77.71428571428570,49.0,12.8,73.33333333333330,77.25,74.0,180,70,34,16500000
Matteo Politano,81,83.5,73.0,46.0,9.6,69.0,72.125,78.33333333333330,171,67,28,27500000
Iñaki Williams,81,78.5,82.85714285714290,38.0,13.2,69.5,72.375,72.0,186,80,27,30000000
Juan Musso,81,18.0,45.0,13.0,80.2,41.666666666666700,21.25,25.0,191,93,27,23500000
Julian Brandt,81,84.5,75.14285714285710,46.5,11.0,67.33333333333330,70.125,80.0,185,83,25,36000000
Odisseas Vlachodimos,81,18.0,53.142857142857100,15.5,78.2,42.166666666666700,19.125,22.0,191,78,27,23500000
Anthony Martial,81,87.0,78.57142857142860,29.5,10.2,66.83333333333330,75.5,70.33333333333330,184,76,25,34500000
Darwin Machís,81,82.0,83.0,37.5,9.8,69.66666666666670,71.25,75.33333333333330,174,74,28,26000000
Otávio,81,85.5,72.57142857142860,66.5,11.4,76.83333333333330,69.0,78.33333333333330,172,71,26,30500000
Piotr Emrecan,81,86.0,72.85714285714290,70.5,10.0,74.5,69.625,80.66666666666670,180,75,27,29500000
Rui Silva,81,21.0,39.142857142857100,17.5,80.0,39.333333333333300,24.125,21.333333333333300,191,91,27,25500000
Adrien Rabiot,81,81.5,75.42857142857140,75.5,10.4,77.16666666666670,68.75,78.0,192,80,26,30000000
Fred,81,79.5,79.28571428571430,77.0,12.8,79.66666666666670,67.0,77.33333333333330,169,62,28,22500000
Lucas Vázquez,81,80.0,77.71428571428570,70.0,10.0,76.5,69.25,79.33333333333330,173,70,30,25000000
Andrea Belotti,81,77.5,78.57142857142860,33.5,10.6,70.5,74.875,53.666666666666700,181,84,27,30000000
Emil Forsberg,81,84.5,68.71428571428570,32.5,11.0,71.33333333333330,68.875,81.33333333333330,177,76,29,25500000
Adnan Januzaj,81,83.5,72.28571428571430,26.5,11.0,65.5,69.0,79.33333333333330,186,76,26,28000000
Maximilian Arnold,81,80.0,68.14285714285710,78.5,10.2,78.66666666666670,76.875,78.0,184,74,27,26500000
Edin Višća,81,80.5,81.14285714285710,47.5,12.8,69.33333333333330,71.875,77.33333333333330,172,63,31,21500000
Alessio Cragno,81,17.0,47.142857142857100,15.5,79.8,40.5,20.375,23.666666666666700,184,78,27,23500000
James Ward-Prowse,81,79.0,70.14285714285710,69.0,12.8,73.16666666666670,75.375,86.0,173,66,26,33500000
Arkadiusz Milik,81,79.0,66.14285714285710,34.5,12.4,67.5,81.125,65.0,186,78,27,30000000
Willi Orban,81,54.5,63.857142857142900,85.0,11.6,65.66666666666670,40.125,55.333333333333300,186,87,28,24500000
Iñigo Martínez,81,64.0,73.0,81.0,12.6,69.83333333333330,59.0,69.66666666666670,182,77,30,21000000
Kurt Zouma,81,57.0,69.0,81.5,11.8,70.0,58.5,63.0,190,95,26,30000000
Tomáš Vaclík,81,17.0,51.714285714285700,19.0,79.6,45.5,20.5,29.333333333333300,188,85,32,13000000
Alessandro Florenzi,81,80.0,75.14285714285710,76.0,9.6,75.16666666666670,76.25,79.0,173,67,30,22000000
James Tarkowski,81,66.0,65.71428571428570,82.0,10.0,72.0,52.875,68.66666666666670,188,81,28,24500000
Agustín Marchesín,81,22.0,58.142857142857100,18.5,79.6,48.0,19.25,29.666666666666700,188,84,33,8500000
Lucas Moura,81,85.0,84.71428571428570,37.0,10.8,72.66666666666670,73.75,69.33333333333330,174,70,29,26000000
Danilo Pereira,81,76.0,70.28571428571430,81.0,11.6,76.0,62.5,72.33333333333330,188,83,30,22000000
Nacho Fernández,81,70.0,76.71428571428570,81.5,10.2,67.33333333333330,46.0,69.66666666666670,180,76,31,17500000
Paco Alcácer,81,80.0,72.71428571428570,33.5,10.6,67.5,81.875,63.0,175,70,28,28000000
Steven Berghuis,81,82.5,73.28571428571430,35.0,9.8,70.5,77.125,82.0,182,75,29,25500000
Jasper Cillessen,81,22.0,54.57142857142860,15.0,79.8,43.666666666666700,19.5,34.0,185,83,32,13000000
Sergi Roberto,81,79.0,71.0,76.0,13.2,74.83333333333330,63.625,80.33333333333330,178,68,29,22500000
Danilo,81,76.0,71.85714285714290,83.0,10.6,75.5,71.25,75.66666666666670,184,78,30,22500000
James Rodríguez,81,88.0,60.714285714285700,46.5,12.8,74.83333333333330,83.625,86.0,180,75,30,25500000
Jonathan Viera,81,81.5,77.0,63.0,12.8,73.83333333333330,73.25,78.0,171,67,31,21500000
Pizzi,81,83.0,72.71428571428570,67.0,12.4,78.83333333333330,73.875,81.0,177,72,31,21000000
Danny Ings,81,79.5,76.28571428571430,41.5,11.4,73.66666666666670,78.625,67.33333333333330,178,73,29,26500000
Kevin Kampl,81,84.5,73.28571428571430,64.5,10.6,76.83333333333330,65.75,79.0,178,66,30,24500000
Andy Delort,81,75.0,81.42857142857140,34.5,10.6,70.66666666666670,78.75,71.0,181,83,29,25500000
Aitor,81,18.0,57.0,13.5,78.2,39.5,22.625,34.333333333333300,182,78,30,17000000
Thomas Delaney,81,74.0,78.71428571428570,83.0,12.0,78.83333333333330,71.125,74.66666666666670,182,79,30,22000000
Nicolás Otamendi,81,58.5,69.14285714285710,83.5,9.6,72.16666666666670,56.125,65.0,183,76,33,12500000
Benjamin André,81,75.5,77.71428571428570,80.0,10.8,78.83333333333330,63.875,76.0,180,74,31,21500000
Marlos,81,87.5,76.28571428571430,45.5,9.8,70.33333333333330,73.25,76.0,174,76,33,16000000
Marko Arnautović,81,79.5,78.57142857142860,41.0,12.8,72.0,79.25,77.33333333333330,192,83,32,21000000
Max Kruse,81,83.0,68.0,39.5,9.2,72.16666666666670,78.125,80.66666666666670,180,76,33,16500000
Arturo Vidal,81,79.5,75.57142857142860,82.0,3.2,82.16666666666670,78.0,78.66666666666670,180,75,34,12000000
Ivan Perišić,81,79.0,79.71428571428570,61.0,7.6,75.0,78.0,76.66666666666670,186,80,32,20500000
Adán,81,13.5,56.57142857142860,17.0,80.0,42.166666666666700,21.0,29.666666666666700,190,86,34,4400000
Lucas Leiva,81,75.5,67.85714285714290,82.0,7.4,79.5,64.125,72.66666666666670,179,78,34,9000000
Jan Vertonghen,81,67.0,72.71428571428570,84.0,8.8,73.83333333333330,66.5,73.33333333333330,189,86,34,8500000
José Fonte,81,64.5,53.285714285714300,83.5,10.0,73.0,49.0,63.333333333333300,191,84,37,4600000
Gonzalo Higuaín,81,80.0,65.85714285714290,27.0,7.8,65.5,78.0,68.66666666666670,186,89,33,16500000
Steve Mandanda,81,23.0,49.285714285714300,14.0,80.0,44.666666666666700,17.625,32.0,185,82,36,650000
Andrea Consigli,81,16.5,48.714285714285700,13.5,79.6,36.666666666666700,20.375,22.666666666666700,189,82,34,4400000
Héctor Herrera,81,77.0,76.0,81.5,10.8,80.66666666666670,69.375,75.0,185,78,31,21000000
André-Pierre Gignac,81,78.5,71.57142857142860,35.5,12.2,73.66666666666670,78.25,72.0,189,85,35,11000000
Burak Sema V.,81,73.0,71.0,29.0,12.0,74.16666666666670,78.75,66.33333333333330,188,77,36,11000000
Joaquín,81,83.5,58.57142857142860,44.0,10.0,70.66666666666670,76.5,83.66666666666670,179,75,40,8500000
Bukayo Saka,80,82.0,74.71428571428570,67.0,10.0,73.33333333333330,64.875,73.66666666666670,178,65,20,45500000
Vladimír Coufal,80,74.5,79.71428571428570,79.5,11.2,75.0,59.0,76.33333333333330,175,76,29,19000000
Viktor Tsygankov,80,80.5,71.0,49.0,9.8,67.5,69.125,76.66666666666670,178,72,23,33500000
Pedro Porro,80,80.5,74.71428571428570,76.0,9.6,74.83333333333330,64.125,75.33333333333330,176,71,22,40500000
Nikola Vlašić,80,82.5,76.42857142857140,54.5,11.6,68.0,72.75,76.33333333333330,178,79,23,33500000
Luis Díaz,80,82.0,80.28571428571430,32.0,12.8,66.33333333333330,65.125,70.66666666666670,180,73,24,33500000
Unai Núñez,80,51.5,66.14285714285710,80.0,10.0,58.666666666666700,31.75,52.333333333333300,186,81,24,27000000
Ridle Baku,80,80.5,82.0,72.0,9.2,75.5,62.0,74.0,176,75,23,32000000
Maximiliano Gómez,80,74.5,72.14285714285710,27.5,9.2,69.0,75.625,65.33333333333330,186,84,25,32000000
Vinícius Jr.,80,87.0,83.14285714285710,28.5,7.2,63.833333333333300,66.75,70.0,176,73,21,46500000
Alessandro Bastoni,80,70.0,68.28571428571430,82.0,9.6,69.0,42.75,70.66666666666670,190,75,22,44500000
Scott McTominay,80,77.0,71.14285714285710,78.5,8.4,77.83333333333330,70.25,75.66666666666670,193,88,24,27500000
Boubacar Kamara,80,74.0,72.71428571428570,78.5,9.0,72.83333333333330,54.75,73.66666666666670,184,68,21,31000000
Jiří Pavlenka,80,15.5,37.42857142857140,11.0,74.6,32.166666666666700,19.125,18.666666666666700,196,81,29,17500000
Noussair Mazraoui,80,81.5,76.28571428571430,74.5,11.2,74.83333333333330,55.25,76.0,183,62,23,29500000
Dean Henderson,80,22.5,53.285714285714300,14.5,79.2,37.0,16.375,32.0,188,85,24,36000000
Xaver Schlager,80,76.5,74.42857142857140,74.5,8.2,79.33333333333330,63.75,71.66666666666670,174,76,24,27500000
Victor Osimhen,80,75.5,81.42857142857140,37.0,10.6,67.66666666666670,71.75,62.0,185,78,22,43000000
Çağlar Söyüncü,80,68.0,71.28571428571430,81.0,6.8,69.66666666666670,50.125,62.0,185,82,25,25000000
Donyell Malen,80,83.0,82.57142857142860,25.5,9.8,67.83333333333330,73.125,70.0,179,78,22,33000000
Renato Sanches,80,83.5,85.28571428571430,73.5,10.0,79.16666666666670,71.0,77.33333333333330,176,70,24,33000000
Tony Abranjes,80,57.5,74.0,80.5,9.4,62.333333333333300,49.5,57.0,179,80,33,10000000
Laure Santeiro,80,82.0,68.71428571428570,21.0,9.6,65.16666666666670,66.25,77.33333333333330,171,63,21,25000000
Héniton Pires,80,17.0,48.0,15.0,78.8,43.166666666666700,19.875,25.333333333333300,182,74,25,17000000
Maikel Catarino,80,77.5,73.57142857142860,78.5,13.0,65.33333333333330,52.375,76.33333333333330,177,75,25,21000000
Gerson,80,80.5,75.42857142857140,80.5,11.6,79.16666666666670,63.875,79.33333333333330,184,72,24,30000000
Stefano Sensi,80,84.5,70.0,68.0,9.6,74.0,63.5,83.0,168,62,26,27500000
Gianluca Mancini,80,63.0,67.28571428571430,79.5,9.4,67.0,46.75,47.666666666666700,190,77,25,26500000
Denis R.Capellini,80,76.0,75.71428571428570,81.5,11.0,78.0,56.375,73.0,191,81,24,30500000
Manuel Akanji,80,74.5,75.71428571428570,82.0,9.4,69.0,54.25,67.0,187,91,26,25000000
Nélson Semedo,80,80.0,80.28571428571430,77.0,12.8,74.83333333333330,51.625,72.0,177,69,27,22000000
Oleksandr Tizian,80,81.0,73.28571428571430,78.5,12.2,77.0,69.125,80.66666666666670,175,64,24,29500000
Marko Dmitrović,80,8.5,45.285714285714300,20.5,79.0,37.666666666666700,29.0,36.666666666666700,194,94,29,16000000
Ismaël Bennacer,80,84.0,77.71428571428570,75.0,12.4,76.83333333333330,68.25,79.66666666666670,175,70,23,30000000
Kieran Tierney,80,77.5,80.28571428571430,77.0,12.4,76.16666666666670,58.0,75.66666666666670,178,70,24,31000000
Steven Bergwijn,80,83.0,79.42857142857140,40.0,12.8,65.5,73.375,73.33333333333330,178,78,23,30000000
Álex Berenguer,80,81.5,77.14285714285710,64.5,11.4,75.16666666666670,70.625,73.33333333333330,175,73,26,25000000
Jonathan Bamba,80,80.5,80.57142857142860,36.0,12.2,68.0,71.375,71.66666666666670,175,70,25,28000000
Joan Jordán,80,79.5,65.71428571428570,71.5,11.8,75.66666666666670,71.5,79.33333333333330,183,74,27,24500000
Borja Iglesias,80,76.5,70.57142857142860,31.5,14.2,68.16666666666670,69.5,62.666666666666700,187,86,28,21500000
Lucas Torreira,80,78.0,75.42857142857140,81.0,7.8,77.66666666666670,65.875,74.0,166,60,25,26500000
Jonathan Rodríguez,80,81.0,82.0,31.5,10.6,67.33333333333330,73.125,66.66666666666670,177,79,28,23000000
Stefan Lainer,80,73.5,77.71428571428570,76.0,9.2,73.33333333333330,58.375,74.66666666666670,175,73,29,19000000
Everton,80,85.5,78.14285714285710,29.0,14.6,64.33333333333330,68.125,72.0,174,72,25,28000000
Lukas Klostermann,80,72.0,76.14285714285710,82.5,8.8,71.16666666666670,45.0,69.66666666666670,187,88,25,26500000
Victor Lindelöf,80,73.5,68.28571428571430,81.5,10.4,75.66666666666670,57.125,73.66666666666670,187,80,27,23000000
Pau López,80,17.0,51.285714285714300,19.5,78.6,45.5,24.0,34.333333333333300,189,77,26,16500000
Naby Keïta,80,85.5,72.0,66.0,11.8,78.16666666666670,66.0,73.33333333333330,172,64,26,27500000
Jason Denayer,80,71.0,77.42857142857140,80.5,12.4,70.0,45.875,68.66666666666670,184,80,26,24500000
Embarba,80,79.0,77.85714285714290,54.5,10.0,72.66666666666670,73.75,78.66666666666670,173,68,29,20500000
Corentin Tolisso,80,79.0,74.28571428571430,76.0,10.8,79.16666666666670,72.375,77.0,181,81,27,24500000
Giovanni Di Lorenzo,80,75.5,81.57142857142860,77.0,8.6,72.16666666666670,66.625,74.66666666666670,183,83,28,20500000
Capa,80,76.5,84.42857142857140,76.0,10.8,77.5,64.0,76.0,175,75,29,18500000
Gerónimo Rulli,80,14.5,56.57142857142860,14.0,79.2,42.333333333333300,22.75,22.333333333333300,189,84,29,14500000
Walter Benítez,80,19.5,52.857142857142900,18.5,78.8,41.5,21.25,22.333333333333300,191,93,28,18000000
Franco Armani,80,27.0,49.285714285714300,14.0,77.0,45.0,20.75,27.333333333333300,189,88,34,3600000
Andreas Christensen,80,69.5,66.57142857142860,83.5,8.8,67.33333333333330,38.375,66.33333333333330,187,81,25,28000000
João Mário,80,84.5,71.85714285714290,65.0,9.0,75.0,67.875,79.66666666666670,179,73,28,21000000
Philipp Max,80,75.0,77.42857142857140,73.5,11.4,74.0,66.25,81.33333333333330,177,77,28,22000000
Thomas Strakosha,80,14.5,46.285714285714300,19.0,78.8,41.666666666666700,20.375,22.0,193,78,26,21000000
Dele Alli,80,83.5,71.85714285714290,64.5,8.2,76.5,75.875,78.0,188,80,25,26500000
Jonny,80,76.5,73.42857142857140,80.0,9.0,74.66666666666670,55.375,72.66666666666670,170,70,27,22000000
Pacheco,80,14.0,56.57142857142860,17.0,77.8,43.5,21.25,23.666666666666700,186,81,29,17500000
Gaëtan Laborde,80,79.5,78.14285714285710,36.0,12.2,71.0,74.875,75.0,181,78,27,24500000
Quincy Promes,80,80.5,80.28571428571430,47.0,9.8,71.0,74.5,76.66666666666670,174,72,29,20500000
Josef Martínez,80,77.5,81.85714285714290,20.0,12.0,63.5,73.625,59.0,170,69,28,21500000
Roger,80,77.5,75.14285714285710,39.0,13.0,68.83333333333330,72.375,63.666666666666700,179,74,30,20500000
Michael Keane,80,66.5,65.71428571428570,82.5,11.2,65.83333333333330,51.5,68.66666666666670,191,82,28,20000000
Esteban Andrada,80,19.5,47.142857142857100,22.5,80.2,39.666666666666700,21.0,30.0,194,83,30,16000000
Zouhair Feddal,80,63.5,60.285714285714300,82.5,11.4,68.0,51.75,69.66666666666670,192,84,31,14500000
Sébastien Haller,80,76.5,70.28571428571430,50.0,8.0,70.5,73.375,55.0,190,82,27,24500000
Téji Savanier,80,81.5,69.71428571428570,69.0,11.6,79.83333333333330,71.75,82.66666666666670,172,69,29,20500000
Samuel Umtiti,80,68.5,68.57142857142860,80.0,13.2,70.33333333333330,67.5,70.0,182,75,27,19500000
Eran Dundas,80,79.0,78.42857142857140,35.5,12.4,68.66666666666670,78.0,71.66666666666670,182,71,34,13500000
Konstantinos Fortounis,80,83.5,73.0,42.5,14.2,69.16666666666670,76.0,78.0,183,70,28,21000000
Pozuelo,80,82.5,70.71428571428570,52.5,10.0,73.5,72.0,78.0,170,63,30,20500000
Šime Vrsaljko,80,75.5,76.57142857142860,79.0,11.6,71.33333333333330,60.25,75.66666666666670,181,76,29,18500000
Diego Demme,80,77.0,74.57142857142860,78.0,11.8,75.33333333333330,52.125,76.0,172,71,29,18000000
Julian Draxler,80,83.5,73.57142857142860,56.0,10.0,73.5,73.875,79.0,187,77,28,22500000
Remo Freuler,80,79.5,68.42857142857140,79.5,11.2,79.0,64.5,77.66666666666670,180,80,29,20500000
Martin Hinteregger,80,59.5,72.85714285714290,82.0,12.0,74.33333333333330,68.875,68.33333333333330,184,83,29,18000000
Rafinha,80,85.0,73.28571428571430,72.0,10.4,76.33333333333330,70.625,79.33333333333330,174,71,28,21000000
Aïssa Mandi,80,70.0,70.28571428571430,80.0,12.8,75.66666666666670,52.875,77.0,184,78,29,19500000
Ismaily,80,82.0,76.85714285714290,75.5,10.2,75.83333333333330,60.0,76.0,177,86,31,15500000
João Pedro,80,82.0,74.57142857142860,37.0,12.0,73.0,75.25,74.66666666666670,184,73,29,21000000
Charles Aránguiz,80,76.0,71.57142857142860,77.0,11.0,78.0,70.875,80.33333333333330,171,68,32,14000000
Cédric Bakambu,80,75.5,82.42857142857140,30.5,9.0,70.5,73.625,70.33333333333330,182,74,30,20500000
Pablo Sarabia,80,83.0,66.28571428571430,57.0,11.6,71.0,72.625,80.66666666666670,174,70,29,20500000
Bartra,80,74.0,73.85714285714290,79.5,11.6,75.83333333333330,60.75,71.66666666666670,184,73,30,17500000
Sérgio Oliveira,80,78.5,64.85714285714290,74.5,10.0,78.16666666666670,79.375,82.33333333333330,181,78,29,20500000
Mattia Perin,80,21.0,52.857142857142900,16.0,78.4,40.333333333333300,20.125,25.0,188,77,28,18000000
Grzegorz Krychowiak,80,74.5,69.0,75.5,10.0,76.33333333333330,72.0,74.0,187,84,31,
Nicolás Lodeiro,80,81.0,76.0,51.0,12.2,73.0,71.125,81.66666666666670,170,69,32,16500000
Enzo Pérez,80,77.5,72.14285714285710,78.0,11.0,79.5,67.0,76.66666666666670,178,77,35,6000000
Roberto Pereyra,80,82.5,75.42857142857140,68.0,4.8,75.83333333333330,72.25,78.33333333333330,182,77,30,20000000
Eduardo Salvio,80,84.0,79.0,53.5,9.6,74.16666666666670,73.75,71.33333333333330,173,71,31,20500000
Guaita,80,20.0,55.0,19.0,79.2,42.0,24.75,35.333333333333300,190,80,34,3600000
Francis Coquelin,80,80.5,74.0,79.0,10.2,80.66666666666670,61.0,77.33333333333330,176,74,30,20000000
Roman Bürki,80,17.5,54.42857142857140,12.0,76.6,41.5,17.75,25.333333333333300,187,85,30,14000000
Rafael Tolói,80,62.0,70.57142857142860,83.0,12.6,70.16666666666670,56.375,59.333333333333300,185,75,30,17500000
Aaron Ramsey,80,84.5,68.42857142857140,67.5,8.0,75.0,72.625,80.33333333333330,183,76,30,20000000
José Callejón,80,82.5,73.14285714285710,46.0,9.8,68.83333333333330,72.25,74.0,178,73,34,10000000
Alexis Sánchez,80,83.5,78.28571428571430,41.0,12.0,70.83333333333330,74.0,77.33333333333330,168,62,32,17000000
Angelo Ogbonna,80,62.0,62.857142857142900,82.5,4.2,68.5,47.125,63.333333333333300,191,86,33,10000000
Fernando Muslera,80,26.0,63.42857142857140,14.0,78.2,44.666666666666700,18.0,35.333333333333300,190,74,35,2300000
Diego Godín,80,62.5,66.0,80.5,9.8,68.66666666666670,53.625,66.33333333333330,187,78,35,5500000
Radja Nainggolan,80,74.5,74.28571428571430,76.0,11.0,79.66666666666670,76.625,78.0,176,65,33,13000000
Nacho Monreal,80,75.0,67.85714285714290,80.0,5.8,76.5,63.375,75.0,180,77,35,6500000
Medhi Benatia,80,61.5,68.0,82.5,7.4,68.16666666666670,45.0,56.0,189,94,34,7000000
Dimitri Payet,80,83.5,67.71428571428570,34.5,12.2,67.5,75.375,82.66666666666670,175,77,34,10000000
Marcelo,80,90.0,73.71428571428570,74.0,7.2,78.33333333333330,70.875,80.33333333333330,174,75,33,11000000
Simon Mignolet,80,20.0,51.42857142857140,10.5,79.4,41.166666666666700,23.125,27.333333333333300,193,87,33,7000000
Daniel Wass,80,78.5,74.28571428571430,76.0,11.2,77.33333333333330,75.25,80.0,181,74,32,16500000
Marek Hamšík,80,81.0,72.57142857142860,69.5,9.2,76.0,75.875,81.0,183,73,34,13000000
Raúl García,80,82.5,64.28571428571430,59.0,15.0,81.5,80.625,81.66666666666670,184,83,35,10500000
Jonny Evans,80,61.0,61.857142857142900,84.0,13.4,68.83333333333330,41.875,63.666666666666700,188,77,33,10000000
João Moutinho,80,80.5,65.85714285714290,70.5,13.8,76.5,75.25,84.66666666666670,170,61,35,9500000
Igor Akinfeev,80,18.5,52.57142857142860,15.5,78.6,41.5,19.375,21.333333333333300,186,78,35,2300000
Guillermo Ochoa,80,14.0,52.714285714285700,15.5,77.8,40.333333333333300,19.75,29.333333333333300,190,85,36,2300000
Gianluigi Buffon,80,27.0,48.42857142857140,12.0,77.0,46.0,20.75,28.333333333333300,192,92,43,1000
Antony,79,84.0,78.85714285714290,37.5,10.8,69.0,67.375,68.33333333333330,174,63,21,39500000
